n,p,device,device_model,repetition,random_state,timestamp,computation_time,motifs
1000,0.1,/CPU:0,,4,71070,2022-05-29 19:48:11.005287,1.673,"[88471134 58832724  3229796  6516806  3258766  3258326   722166   714811
   715769   240388    39376    79474    39061    39464     8794      145]"
1000,0.15000000000000002,/GPU:0,Tesla T4,0,71070,2022-05-29 20:29:27.702062,0.336,"[62720488 66408909  5802212 11710158  5852930  5858252  2066411  2044398
  2046224   689258   179338   361618   180991   180772    63272     1769]"
1000,0.15000000000000002,/GPU:0,Tesla T4,1,71070,2022-05-29 19:51:29.431435,0.486,"[62720488 66408909  5802212 11710158  5852930  5858252  2066411  2044398
  2046224   689258   179338   361618   180991   180772    63272     1769]"
1000,0.15000000000000002,/GPU:0,Tesla T4,2,71070,2022-05-29 20:04:02.503809,0.418,"[62720488 66408909  5802212 11710158  5852930  5858252  2066411  2044398
  2046224   689258   179338   361618   180991   180772    63272     1769]"
1000,0.15000000000000002,/GPU:0,Tesla T4,3,71070,2022-05-29 20:34:22.404570,0.501,"[62720488 66408909  5802212 11710158  5852930  5858252  2066411  2044398
  2046224   689258   179338   361618   180991   180772    63272     1769]"
1000,0.15000000000000002,/GPU:0,Tesla T4,4,71070,2022-05-29 20:37:33.590511,0.503,"[62720488 66408909  5802212 11710158  5852930  5858252  2066411  2044398
  2046224   689258   179338   361618   180991   180772    63272     1769]"
1000,0.15000000000000002,/CPU:0,,0,71070,2022-05-29 20:28:53.373299,1.728,"[62720488 66408909  5802212 11710158  5852930  5858252  2066411  2044398
  2046224   689258   179338   361618   180991   180772    63272     1769]"
1000,0.15000000000000002,/CPU:0,,1,71070,2022-05-29 19:46:18.367000,1.687,"[62720488 66408909  5802212 11710158  5852930  5858252  2066411  2044398
  2046224   689258   179338   361618   180991   180772    63272     1769]"
1000,0.15000000000000002,/CPU:0,,2,71070,2022-05-29 19:45:32.180580,1.721,"[62720488 66408909  5802212 11710158  5852930  5858252  2066411  2044398
  2046224   689258   179338   361618   180991   180772    63272     1769]"
1000,0.15000000000000002,/CPU:0,,3,71070,2022-05-29 20:33:43.929128,1.813,"[62720488 66408909  5802212 11710158  5852930  5858252  2066411  2044398
  2046224   689258   179338   361618   180991   180772    63272     1769]"
1000,0.15000000000000002,/CPU:0,,4,71070,2022-05-29 19:51:02.333383,1.695,"[62720488 66408909  5802212 11710158  5852930  5858252  2066411  2044398
  2046224   689258   179338   361618   180991   180772    63272     1769]"
1000,0.2,/GPU:0,Tesla T4,0,71070,2022-05-29 20:22:06.988389,0.337,"[43558520 65339423  8180426 16321692  8161521  8164900  4078779  4087639
  4088359  1359865   513247  1023335   511865   510723   255985    10721]"
1000,0.2,/GPU:0,Tesla T4,1,71070,2022-05-29 20:36:15.719115,0.335,"[43558520 65339423  8180426 16321692  8161521  8164900  4078779  4087639
  4088359  1359865   513247  1023335   511865   510723   255985    10721]"
1000,0.2,/GPU:0,Tesla T4,2,71070,2022-05-29 19:58:13.799304,0.335,"[43558520 65339423  8180426 16321692  8161521  8164900  4078779  4087639
  4088359  1359865   513247  1023335   511865   510723   255985    10721]"
1000,0.2,/GPU:0,Tesla T4,3,71070,2022-05-29 19:48:10.653839,0.334,"[43558520 65339423  8180426 16321692  8161521  8164900  4078779  4087639
  4088359  1359865   513247  1023335   511865   510723   255985    10721]"
1000,0.2,/GPU:0,Tesla T4,4,71070,2022-05-29 20:29:41.096326,0.335,"[43558520 65339423  8180426 16321692  8161521  8164900  4078779  4087639
  4088359  1359865   513247  1023335   511865   510723   255985    10721]"
1000,0.2,/CPU:0,,0,71070,2022-05-29 20:22:51.741632,1.78,"[43558520 65339423  8180426 16321692  8161521  8164900  4078779  4087639
  4088359  1359865   513247  1023335   511865   510723   255985    10721]"
1000,0.2,/CPU:0,,1,71070,2022-05-29 19:49:18.462108,1.861,"[43558520 65339423  8180426 16321692  8161521  8164900  4078779  4087639
  4088359  1359865   513247  1023335   511865   510723   255985    10721]"
1000,0.2,/CPU:0,,2,71070,2022-05-29 20:18:26.191136,1.688,"[43558520 65339423  8180426 16321692  8161521  8164900  4078779  4087639
  4088359  1359865   513247  1023335   511865   510723   255985    10721]"
1000,0.2,/CPU:0,,3,71070,2022-05-29 20:33:53.236142,1.959,"[43558520 65339423  8180426 16321692  8161521  8164900  4078779  4087639
  4088359  1359865   513247  1023335   511865   510723   255985    10721]"
1000,0.2,/CPU:0,,4,71070,2022-05-29 20:04:04.043018,1.716,"[43558520 65339423  8180426 16321692  8161521  8164900  4078779  4087639
  4088359  1359865   513247  1023335   511865   510723   255985    10721]"
1000,0.25,/GPU:0,Tesla T4,0,71070,2022-05-29 19:49:17.960052,0.482,"[29691216 59210118  9865450 19670683  9836142  9838823  6536187  6555125
  6559010  2179583  1095747  2180569  1090538  1090174   727605    40030]"
1000,0.25,/GPU:0,Tesla T4,1,71070,2022-05-29 20:41:59.899347,0.488,"[29691216 59210118  9865450 19670683  9836142  9838823  6536187  6555125
  6559010  2179583  1095747  2180569  1090538  1090174   727605    40030]"
1000,0.25,/GPU:0,Tesla T4,2,71070,2022-05-29 19:42:56.995194,0.336,"[29691216 59210118  9865450 19670683  9836142  9838823  6536187  6555125
  6559010  2179583  1095747  2180569  1090538  1090174   727605    40030]"
1000,0.25,/GPU:0,Tesla T4,3,71070,2022-05-29 19:56:17.258338,0.336,"[29691216 59210118  9865450 19670683  9836142  9838823  6536187  6555125
  6559010  2179583  1095747  2180569  1090538  1090174   727605    40030]"
1000,0.25,/GPU:0,Tesla T4,4,71070,2022-05-29 19:55:28.717936,0.486,"[29691216 59210118  9865450 19670683  9836142  9838823  6536187  6555125
  6559010  2179583  1095747  2180569  1090538  1090174   727605    40030]"
1000,0.25,/CPU:0,,0,71070,2022-05-29 20:09:36.361170,1.702,"[29691216 59210118  9865450 19670683  9836142  9838823  6536187  6555125
  6559010  2179583  1095747  2180569  1090538  1090174   727605    40030]"
1000,0.25,/CPU:0,,1,71070,2022-05-29 20:43:13.429832,1.696,"[29691216 59210118  9865450 19670683  9836142  9838823  6536187  6555125
  6559010  2179583  1095747  2180569  1090538  1090174   727605    40030]"
1000,0.25,/CPU:0,,2,71070,2022-05-29 20:07:40.501729,1.702,"[29691216 59210118  9865450 19670683  9836142  9838823  6536187  6555125
  6559010  2179583  1095747  2180569  1090538  1090174   727605    40030]"
