n,p,device,repetition,random_state,timestamp,algorithm,computation_time,motifs,processor
500,0.30000000000000004,GPU,4,71070,2025-08-21 18:02:08.146389,gpu,0.007,[2467145 6289637 1351136 2671068 1336804 1336300 1134829 1146799 1150930  379281  245844  487487  243976  242929  209354   14981],Apple M3 Max
500,0.30000000000000004,CPU,0,71070,2025-08-21 18:02:16.127748,matmul,0.01,[2467145 6289637 1351136 2671068 1336804 1336300 1134829 1146799 1150930  379281  245844  487487  243976  242929  209354   14981],Apple M3 Max
500,0.30000000000000004,CPU,1,71070,2025-08-21 18:03:05.518499,matmul,0.007,[2467145 6289637 1351136 2671068 1336804 1336300 1134829 1146799 1150930  379281  245844  487487  243976  242929  209354   14981],Apple M3 Max
500,0.30000000000000004,CPU,2,71070,2025-08-21 18:03:05.507515,matmul,0.008,[2467145 6289637 1351136 2671068 1336804 1336300 1134829 1146799 1150930  379281  245844  487487  243976  242929  209354   14981],Apple M3 Max
500,0.30000000000000004,CPU,3,71070,2025-08-21 18:03:29.237650,matmul,0.008,[2467145 6289637 1351136 2671068 1336804 1336300 1134829 1146799 1150930  379281  245844  487487  243976  242929  209354   14981],Apple M3 Max
500,0.30000000000000004,CPU,4,71070,2025-08-21 18:01:53.561769,matmul,0.008,[2467145 6289637 1351136 2671068 1336804 1336300 1134829 1146799 1150930  379281  245844  487487  243976  242929  209354   14981],Apple M3 Max
500,0.35000000000000003,GPU,0,71070,2025-08-21 18:02:47.849382,gpu,0.012,[1595853 5081014 1381747 2694087 1349907 1346828 1428893 1468559 1468136  477513  398222  778468  389372  388707  422667   38527],Apple M3 Max
500,0.35000000000000003,GPU,1,71070,2025-08-21 18:02:34.780849,gpu,0.006,[1595853 5081014 1381747 2694087 1349907 1346828 1428893 1468559 1468136  477513  398222  778468  389372  388707  422667   38527],Apple M3 Max
500,0.35000000000000003,GPU,2,71070,2025-08-21 18:02:34.754363,gpu,0.006,[1595853 5081014 1381747 2694087 1349907 1346828 1428893 1468559 1468136  477513  398222  778468  389372  388707  422667   38527],Apple M3 Max
500,0.35000000000000003,GPU,3,71070,2025-08-21 18:03:59.376164,gpu,0.006,[1595853 5081014 1381747 2694087 1349907 1346828 1428893 1468559 1468136  477513  398222  778468  389372  388707  422667   38527],Apple M3 Max
