n,p,device,repetition,random_state,timestamp,algorithm,computation_time,motifs,processor
500,0.2,CPU,1,71070,2025-08-21 14:38:09.063112,matmul,0.063,[5447433 8132356 1031546 2023563 1011703 1011109  503098  512458  513352  167427   64844  127751   64442   63548   32483    1387],Intel(R) Xeon(R) CPU @ 2.00GHz
500,0.2,CPU,2,71070,2025-08-21 14:35:15.427986,matmul,0.09,[5447433 8132356 1031546 2023563 1011703 1011109  503098  512458  513352  167427   64844  127751   64442   63548   32483    1387],Intel(R) Xeon(R) CPU @ 2.00GHz
500,0.2,CPU,3,71070,2025-08-21 14:24:09.951457,matmul,0.065,[5447433 8132356 1031546 2023563 1011703 1011109  503098  512458  513352  167427   64844  127751   64442   63548   32483    1387],Intel(R) Xeon(R) CPU @ 2.00GHz
500,0.2,CPU,4,71070,2025-08-21 14:33:48.079922,matmul,0.104,[5447433 8132356 1031546 2023563 1011703 1011109  503098  512458  513352  167427   64844  127751   64442   63548   32483    1387],Intel(R) Xeon(R) CPU @ 2.00GHz
500,0.25,GPU,0,71070,2025-08-21 14:38:07.388139,gpu,0.005,[3725489 7385976 1237126 2439394 1220954 1219892  805031  816411  818219  268413  136101  269517  135578  135028   90276    5095],Tesla T4
500,0.25,GPU,1,71070,2025-08-21 14:27:08.774945,gpu,0.006,[3725489 7385976 1237126 2439394 1220954 1219892  805031  816411  818219  268413  136101  269517  135578  135028   90276    5095],Tesla T4
500,0.25,GPU,2,71070,2025-08-21 14:32:29.491359,gpu,0.006,[3725489 7385976 1237126 2439394 1220954 1219892  805031  816411  818219  268413  136101  269517  135578  135028   90276    5095],Tesla T4
500,0.25,GPU,3,71070,2025-08-21 14:31:19.056167,gpu,0.004,[3725489 7385976 1237126 2439394 1220954 1219892  805031  816411  818219  268413  136101  269517  135578  135028   90276    5095],Tesla T4
500,0.25,GPU,4,71070,2025-08-21 14:17:51.042239,gpu,0.004,[3725489 7385976 1237126 2439394 1220954 1219892  805031  816411  818219  268413  136101  269517  135578  135028   90276    5095],Tesla T4
500,0.25,CPU,0,71070,2025-08-21 14:31:23.048182,matmul,0.065,[3725489 7385976 1237126 2439394 1220954 1219892  805031  816411  818219  268413  136101  269517  135578  135028   90276    5095],Intel(R) Xeon(R) CPU @ 2.00GHz
