n,p,device,repetition,random_state,timestamp,computation_time,motifs
500,0.35000000000000003,/CPU:0,3,71070,2022-05-08 12:20:48.638387,0.281,"[1595853 5081014 1381747 2694087 1349907 1346828 1428893 1468559 1468136
  477513  398222  778468  389372  388707  422667   38527]"
500,0.35000000000000003,/CPU:0,4,71070,2022-05-08 11:44:27.150362,0.289,"[1595853 5081014 1381747 2694087 1349907 1346828 1428893 1468559 1468136
  477513  398222  778468  389372  388707  422667   38527]"
500,0.4,/GPU:0,0,71070,2022-05-08 11:32:59.855346,0.017,"[ 980734 3895520 1296043 2575199 1290001 1286659 1703665 1716417 1717511
  568350  570597 1134798  567730  566597  754593   84086]"
500,0.4,/GPU:0,1,71070,2022-05-08 11:24:13.250811,0.018,"[ 980734 3895520 1296043 2575199 1290001 1286659 1703665 1716417 1717511
  568350  570597 1134798  567730  566597  754593   84086]"
500,0.4,/GPU:0,2,71070,2022-05-08 11:42:02.731950,0.019,"[ 980734 3895520 1296043 2575199 1290001 1286659 1703665 1716417 1717511
  568350  570597 1134798  567730  566597  754593   84086]"
500,0.4,/GPU:0,3,71070,2022-05-08 12:04:07.625829,0.021,"[ 980734 3895520 1296043 2575199 1290001 1286659 1703665 1716417 1717511
  568350  570597 1134798  567730  566597  754593   84086]"
500,0.4,/GPU:0,4,71070,2022-05-08 11:13:44.862998,0.021,"[ 980734 3895520 1296043 2575199 1290001 1286659 1703665 1716417 1717511
  568350  570597 1134798  567730  566597  754593   84086]"
500,0.4,/CPU:0,0,71070,2022-05-08 12:16:01.391855,0.273,"[ 980734 3895520 1296043 2575199 1290001 1286659 1703665 1716417 1717511
  568350  570597 1134798  567730  566597  754593   84086]"
500,0.4,/CPU:0,1,71070,2022-05-08 11:42:02.756779,0.295,"[ 980734 3895520 1296043 2575199 1290001 1286659 1703665 1716417 1717511
  568350  570597 1134798  567730  566597  754593   84086]"
500,0.4,/CPU:0,2,71070,2022-05-08 11:21:33.806033,0.281,"[ 980734 3895520 1296043 2575199 1290001 1286659 1703665 1716417 1717511
  568350  570597 1134798  567730  566597  754593   84086]"
500,0.4,/CPU:0,3,71070,2022-05-08 12:03:18.434343,0.281,"[ 980734 3895520 1296043 2575199 1290001 1286659 1703665 1716417 1717511
  568350  570597 1134798  567730  566597  754593   84086]"
500,0.4,/CPU:0,4,71070,2022-05-08 12:12:04.610420,0.274,"[ 980734 3895520 1296043 2575199 1290001 1286659 1703665 1716417 1717511
  568350  570597 1134798  567730  566597  754593   84086]"
1000,0.05,/GPU:0,0,71070,2022-05-08 12:11:39.159476,0.07,"[122228209  38513069   1013949   2021008   1011374   1010214    106313
    106651    106471     35410      2821      5619      2748      2865
       276         3]"
1000,0.05,/GPU:0,1,71070,2022-05-08 11:21:43.963100,0.072,"[122228209  38513069   1013949   2021008   1011374   1010214    106313
    106651    106471     35410      2821      5619      2748      2865
       276         3]"
1000,0.05,/GPU:0,2,71070,2022-05-08 11:53:41.190680,0.069,"[122228209  38513069   1013949   2021008   1011374   1010214    106313
    106651    106471     35410      2821      5619      2748      2865
       276         3]"
1000,0.05,/GPU:0,3,71070,2022-05-08 11:40:51.846239,0.103,"[122228209  38513069   1013949   2021008   1011374   1010214    106313
    106651    106471     35410      2821      5619      2748      2865
       276         3]"
1000,0.05,/GPU:0,4,71070,2022-05-08 11:14:19.841715,0.103,"[122228209  38513069   1013949   2021008   1011374   1010214    106313
    106651    106471     35410      2821      5619      2748      2865
       276         3]"
1000,0.05,/CPU:0,0,71070,2022-05-08 11:25:36.379713,2.081,"[122228209  38513069   1013949   2021008   1011374   1010214    106313
    106651    106471     35410      2821      5619      2748      2865
       276         3]"
1000,0.05,/CPU:0,1,71070,2022-05-08 11:42:00.007112,2.1,"[122228209  38513069   1013949   2021008   1011374   1010214    106313
    106651    106471     35410      2821      5619      2748      2865
       276         3]"
1000,0.05,/CPU:0,2,71070,2022-05-08 11:29:50.606274,2.007,"[122228209  38513069   1013949   2021008   1011374   1010214    106313
    106651    106471     35410      2821      5619      2748      2865
       276         3]"
1000,0.05,/CPU:0,3,71070,2022-05-08 11:20:08.789272,2.115,"[122228209  38513069   1013949   2021008   1011374   1010214    106313
    106651    106471     35410      2821      5619      2748      2865
       276         3]"
1000,0.05,/CPU:0,4,71070,2022-05-08 11:58:22.711153,1.887,"[122228209  38513069   1013949   2021008   1011374   1010214    106313
    106651    106471     35410      2821      5619      2748      2865
       276         3]"
1000,0.1,/GPU:0,0,71070,2022-05-08 11:33:02.703675,0.07,"[88471134 58832724  3229796  6516806  3258766  3258326   722166   714811
   715769   240388    39376    79474    39061    39464     8794      145]"
1000,0.1,/GPU:0,1,71070,2022-05-08 11:27:58.705265,0.072,"[88471134 58832724  3229796  6516806  3258766  3258326   722166   714811
   715769   240388    39376    79474    39061    39464     8794      145]"
1000,0.1,/GPU:0,2,71070,2022-05-08 11:56:17.933589,0.102,"[88471134 58832724  3229796  6516806  3258766  3258326   722166   714811
   715769   240388    39376    79474    39061    39464     8794      145]"
1000,0.1,/GPU:0,3,71070,2022-05-08 12:05:00.980106,0.098,"[88471134 58832724  3229796  6516806  3258766  3258326   722166   714811
   715769   240388    39376    79474    39061    39464     8794      145]"
1000,0.1,/GPU:0,4,71070,2022-05-08 11:18:23.122202,0.073,"[88471134 58832724  3229796  6516806  3258766  3258326   722166   714811
   715769   240388    39376    79474    39061    39464     8794      145]"
1000,0.1,/CPU:0,0,71070,2022-05-08 11:18:01.420605,2.05,"[88471134 58832724  3229796  6516806  3258766  3258326   722166   714811
   715769   240388    39376    79474    39061    39464     8794      145]"
1000,0.1,/CPU:0,1,71070,2022-05-08 11:40:53.917058,2.058,"[88471134 58832724  3229796  6516806  3258766  3258326   722166   714811
   715769   240388    39376    79474    39061    39464     8794      145]"
1000,0.1,/CPU:0,2,71070,2022-05-08 11:59:27.606081,1.963,"[88471134 58832724  3229796  6516806  3258766  3258326   722166   714811
   715769   240388    39376    79474    39061    39464     8794      145]"
1000,0.1,/CPU:0,3,71070,2022-05-08 11:19:23.169074,2.095,"[88471134 58832724  3229796  6516806  3258766  3258326   722166   714811
   715769   240388    39376    79474    39061    39464     8794      145]"
1000,0.1,/CPU:0,4,71070,2022-05-08 11:45:25.002742,2.05,"[88471134 58832724  3229796  6516806  3258766  3258326   722166   714811
   715769   240388    39376    79474    39061    39464     8794      145]"
1000,0.15000000000000002,/GPU:0,0,71070,2022-05-08 11:55:05.132985,0.105,"[62720488 66408909  5802212 11710158  5852930  5858252  2066411  2044398
  2046224   689258   179338   361618   180991   180772    63272     1769]"
1000,0.15000000000000002,/GPU:0,1,71070,2022-05-08 12:05:00.854062,0.102,"[62720488 66408909  5802212 11710158  5852930  5858252  2066411  2044398
  2046224   689258   179338   361618   180991   180772    63272     1769]"
1000,0.15000000000000002,/GPU:0,2,71070,2022-05-08 12:12:14.101493,0.071,"[62720488 66408909  5802212 11710158  5852930  5858252  2066411  2044398
  2046224   689258   179338   361618   180991   180772    63272     1769]"
1000,0.15000000000000002,/GPU:0,3,71070,2022-05-08 11:15:11.100275,0.106,"[62720488 66408909  5802212 11710158  5852930  5858252  2066411  2044398
  2046224   689258   179338   361618   180991   180772    63272     1769]"
1000,0.15000000000000002,/GPU:0,4,71070,2022-05-08 11:25:38.487144,0.104,"[62720488 66408909  5802212 11710158  5852930  5858252  2066411  2044398
  2046224   689258   179338   361618   180991   180772    63272     1769]"
1000,0.15000000000000002,/CPU:0,0,71070,2022-05-08 12:02:06.608853,1.967,"[62720488 66408909  5802212 11710158  5852930  5858252  2066411  2044398
  2046224   689258   179338   361618   180991   180772    63272     1769]"
1000,0.15000000000000002,/CPU:0,1,71070,2022-05-08 12:06:16.010297,1.984,"[62720488 66408909  5802212 11710158  5852930  5858252  2066411  2044398
  2046224   689258   179338   361618   180991   180772    63272     1769]"
